status,case_name,molecule,pf_label,rotation_precision,reaction_time,qasm_hash,optimized_ir_hash,source_cache_key,topology_path,topology_hash,factory_coordinate_set,trapped_coordinate_free_neighbors,weighted_cnot_distance,weighted_cnot_distance_delta_vs_baseline,weighted_nearest_factory_distance,weighted_nearest_factory_distance_delta_vs_baseline,weighted_nearest_factory_distance_mean,runtime,runtime_without_topology,runtime_topology_overhead,measurement_feedback_count,measurement_feedback_depth,magic_state_consumption_count,magic_state_consumption_depth,qubit_volume,code_distance,physical_qubits,magic_failed_attempts,factory_egress_blocked,factory_egress_blocked_fraction,magic_mean_path_coordinates,magic_max_path_coordinates,cnot_attempts,cnot_failed_attempts,cnot_failed_attempt_fraction,cnot_mean_path_coordinates,cnot_max_path_coordinates,magic_total_stock_min,magic_total_stock_mean,magic_available_factory_count_mean,trapped_coordinate_use_count,semantic_match,reason_sum_matches,elapsed_seconds,gnu_time_max_rss_kb,gnu_time_swaps,qret_executable_hash,qret_core_library_hash,diagnostic_patch_sha256,magic_failure_classical_dependency_wait,magic_failure_condition_wait,magic_failure_qubit_busy,magic_failure_no_magic_stock,magic_failure_factory_egress_blocked,magic_failure_target_access_blocked,magic_failure_route_disconnected,magic_failure_other,magic_factory_0_use_count,magic_factory_0_coord,magic_factory_1_use_count,magic_factory_1_coord,magic_factory_2_use_count,magic_factory_2_coord,magic_factory_3_use_count,magic_factory_3_coord,routing_diagnostic_path,routing_condition,banned_cells,banned_cell_count,usable_non_factory_cell_count,minimum_initial_free_neighbors,obstacle_aware_cnot_max_distance,runtime_delta_vs_remote_control,runtime_change_pct_vs_remote_control,qubit_volume_change_pct_vs_remote_control
ok,h4_p1e-05_remote_ban_control,H4,4th(new_2),1e-05,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,50cb40f83797b2c7,configs/topologies/routing_capacity_h4_h7_4th/h4_remote_ban_control.yaml,315a9390da3b3a5dbc285e590ac377395bb16ae7aa603235963466268f5f092b,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,71644,0,25,0,2.7777777777777777,814084,814083,1,184600,173748,184600,173748,8631388,13,29744,215206,0,0.0,1.8459371614301192,15,47555,32427,0.6818841341604458,4.5606821787414065,14,0,8676.103890713812,3.3945933907973256,0,True,True,5.451608910225332,310696,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,202233,12970,0,2,1,0,54271,"4,4",54229,"4,5",52709,"5,4",23391,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h4_p1e-05_remote_ban_control.json,remote_ban_control,"[[0, 0], [0, 9], [1, 0], [1, 9], [8, 0], [8, 9], [9, 0], [9, 9]]",8,88,2,10,0,0.0,0.0
ok,h4_p1e-05_distributed_obstacles,H4,4th(new_2),1e-05,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,50cb40f83797b2c7,configs/topologies/routing_capacity_h4_h7_4th/h4_distributed_obstacles.yaml,a4ecc2b365bf08c1b26bcb790496db0ff6ea5267551d54190158ec21c77878b8,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,71644,0,25,0,2.7777777777777777,814085,814083,2,184600,173748,184600,173748,8634201,13,29744,215314,0,0.0,1.8498374864572047,24,47508,32380,0.6815694198871769,4.629561078794289,18,0,8668.3153837204,3.3966552510838057,0,True,True,5.408261452801526,310048,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,202231,12971,0,102,10,0,54271,"4,4",54229,"4,5",52699,"5,4",23401,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h4_p1e-05_distributed_obstacles.json,distributed_obstacles,"[[1, 3], [1, 6], [3, 1], [3, 8], [6, 1], [6, 8], [8, 3], [8, 7]]",8,88,2,10,1,0.00012283744674768116,0.03259035510858599
ok,h4_p1e-05_central_choke,H4,4th(new_2),1e-05,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,50cb40f83797b2c7,configs/topologies/routing_capacity_h4_h7_4th/h4_central_choke.yaml,0cf3e9073dfccfd36197c2417f5abea0509a5b07354b6379e4d2050bd691f273,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,122940,51296,25,0,2.7777777777777777,814097,814083,14,184600,173748,184600,173748,8866434,13,29744,216187,13,6.0133125488581645e-05,2.5501462621885156,27,47679,32551,0.6827114662639736,8.028424114225277,26,0,8063.156572639653,3.2971741434122217,0,True,True,5.562122129835188,313312,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,202617,13310,13,63,184,0,54272,"4,4",54264,"4,5",54101,"5,4",21963,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h4_p1e-05_central_choke.json,central_choke,"[[3, 0], [3, 2], [3, 3], [3, 6], [3, 7], [3, 8], [3, 9], [9, 9]]",8,88,2,19,13,0.0015968868077420595,2.7231541439221685
ok,h4_p1e-02_remote_ban_control,H4,4th(new_2),0.01,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,f964909bc189bf5c,configs/topologies/routing_capacity_h4_h7_4th/h4_remote_ban_control.yaml,315a9390da3b3a5dbc285e590ac377395bb16ae7aa603235963466268f5f092b,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,71644,0,25,0,2.7777777777777777,146410,146409,1,11716,10176,11716,10176,1767368,13,29744,16016,0,0.0,1.8575452372823489,14,50799,35671,0.7021988621823264,4.529481755684823,14,0,12319.402834163157,3.4481041746457297,0,True,True,1.202504999935627,96700,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,14677,1333,0,6,0,0,2793,"4,4",3952,"4,5",3059,"5,4",1912,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h4_p1e-02_remote_ban_control.json,remote_ban_control,"[[0, 0], [0, 9], [1, 0], [1, 9], [8, 0], [8, 9], [9, 0], [9, 9]]",8,88,2,10,0,0.0,0.0
ok,h4_p1e-02_distributed_obstacles,H4,4th(new_2),0.01,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,f964909bc189bf5c,configs/topologies/routing_capacity_h4_h7_4th/h4_distributed_obstacles.yaml,a4ecc2b365bf08c1b26bcb790496db0ff6ea5267551d54190158ec21c77878b8,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,71644,0,25,0,2.7777777777777777,146412,146409,3,11716,10176,11716,10176,1769546,13,29744,16038,0,0.0,1.8951007169682486,18,50745,35617,0.7018819588136762,4.586329984135378,18,0,12321.950214132763,3.4490669929642093,0,True,True,1.14842913672328,96884,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,14678,1333,0,23,4,0,2794,"4,4",3940,"4,5",3083,"5,4",1899,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h4_p1e-02_distributed_obstacles.json,distributed_obstacles,"[[1, 3], [1, 6], [3, 1], [3, 8], [6, 1], [6, 8], [8, 3], [8, 7]]",8,88,2,10,2,0.0013660269107207412,0.12323409725647494
ok,h4_p1e-02_central_choke,H4,4th(new_2),0.01,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,f964909bc189bf5c,configs/topologies/routing_capacity_h4_h7_4th/h4_central_choke.yaml,0cf3e9073dfccfd36197c2417f5abea0509a5b07354b6379e4d2050bd691f273,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,122940,51296,25,0,2.7777777777777777,146418,146409,9,11716,10176,11716,10176,1883794,13,29744,16172,1,6.183527083848628e-05,2.23497780812564,25,50661,35533,0.7013876551982787,8.228979375991539,24,0,12317.722852142151,3.4460086751388785,0,True,True,1.179559544660151,97000,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,14747,1337,1,37,50,0,2781,"4,4",3897,"4,5",3122,"5,4",1916,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h4_p1e-02_central_choke.json,central_choke,"[[3, 0], [3, 2], [3, 3], [3, 6], [3, 7], [3, 8], [3, 9], [9, 9]]",8,88,2,19,8,0.005464107642927374,6.5875358159704245
ok,h5_p1e-05_remote_ban_control,H5,4th(new_2),1e-05,1,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,36f8bb9ebf40ede2,configs/topologies/routing_capacity_h4_h7_4th/h5_remote_ban_control.yaml,019747f2ad865de52adc4f55a7de90a37f8036f43ba446ba0c2739f6e5bf0e71,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,225172,0,35,0,3.1818181818181817,2122291,2122265,26,475906,451262,475906,451262,26955591,15,39600,528498,1,1.8921547479839092e-06,2.152263262072762,23,141660,97340,0.687138218269095,4.770803249097473,18,0,11780.327189720332,3.5327790375409425,0,True,True,14.657022544182837,821336,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,508279,20198,1,15,5,0,141484,"4,4",138071,"4,5",141480,"5,4",54871,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h5_p1e-05_remote_ban_control.json,remote_ban_control,"[[0, 0], [0, 9], [1, 0], [1, 9], [8, 0], [8, 9], [9, 0], [9, 9]]",8,88,2,12,0,0.0,0.0
ok,h5_p1e-05_distributed_obstacles,H5,4th(new_2),1e-05,1,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,36f8bb9ebf40ede2,configs/topologies/routing_capacity_h4_h7_4th/h5_distributed_obstacles.yaml,d484fdf7599d7d8a632a940a77642d1fcddb0fba27b38dc5adc3a77793326bb5,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,226820,1648,35,0,3.1818181818181817,2122292,2122265,27,475906,451262,475906,451262,27041235,15,39600,528713,1,1.8913853073406554e-06,2.28450996625384,22,141571,97251,0.6869415346363309,5.0268501805054155,18,0,11785.183701017428,3.532509318021557,0,True,True,14.722731625661254,821992,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,508269,20213,1,225,5,0,141484,"4,4",138056,"4,5",141480,"5,4",54886,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h5_p1e-05_distributed_obstacles.json,distributed_obstacles,"[[1, 3], [1, 6], [3, 1], [3, 8], [6, 1], [6, 8], [8, 3], [8, 7]]",8,88,2,12,1,4.7118891810526975e-05,0.31772258304409995
ok,h5_p1e-05_central_choke,H5,4th(new_2),1e-05,1,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,36f8bb9ebf40ede2,configs/topologies/routing_capacity_h4_h7_4th/h5_central_choke.yaml,fdd55baa04cec79c07eb7f410f87a9e17e0707520084705f2a53636b4cb43e4c,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,359364,134192,35,0,3.1818181818181817,2122340,2122265,75,475906,451262,475906,451262,27406639,15,39600,528509,5,9.460576830290497e-06,2.45998999802482,29,142156,97836,0.6882298320155322,8.200992779783393,24,0,13774.425186002763,3.5393093224947534,0,True,True,15.108649608679116,829420,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,507917,19963,5,276,348,0,141488,"4,4",134015,"4,5",141447,"5,4",58956,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h5_p1e-05_central_choke.json,central_choke,"[[3, 0], [3, 2], [3, 3], [3, 6], [3, 7], [3, 8], [3, 9], [9, 9]]",8,88,2,21,49,0.0023088256982717326,1.6733003553882408
ok,h5_p1e-02_remote_ban_control,H5,4th(new_2),0.01,1,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,37162f0541135fde24e639924577cc2a512bdf0f6df9e5b9c74dec628cfe102a,8557d3f4c12c6eeb,configs/topologies/routing_capacity_h4_h7_4th/h5_remote_ban_control.yaml,019747f2ad865de52adc4f55a7de90a37f8036f43ba446ba0c2739f6e5bf0e71,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,225172,0,35,0,3.1818181818181817,362312,362311,1,18938,17284,18938,17284,5208385,13,29744,23094,0,0.0,2.1955855950997996,14,150957,106637,0.7064064601177819,4.720983754512635,18,0,28461.731900564526,3.6210260473407945,0,True,True,2.905834212899208,233956,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,21838,1235,0,16,5,0,4033,"4,4",5057,"4,5",7117,"5,4",2731,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h5_p1e-02_remote_ban_control.json,remote_ban_control,"[[0, 0], [0, 9], [1, 0], [1, 9], [8, 0], [8, 9], [9, 0], [9, 9]]",8,88,2,12,0,0.0,0.0
ok,h5_p1e-02_distributed_obstacles,H5,4th(new_2),0.01,1,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,37162f0541135fde24e639924577cc2a512bdf0f6df9e5b9c74dec628cfe102a,8557d3f4c12c6eeb,configs/topologies/routing_capacity_h4_h7_4th/h5_distributed_obstacles.yaml,d484fdf7599d7d8a632a940a77642d1fcddb0fba27b38dc5adc3a77793326bb5,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,226820,1648,35,0,3.1818181818181817,362312,362311,1,18938,17284,18938,17284,5234033,13,29744,23123,0,0.0,2.3763861020171086,18,150788,106468,0.7060774066901876,4.971705776173285,18,0,28429.7630589632,3.6174317372378315,0,True,True,2.964233516715467,233832,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,21845,1252,0,26,0,0,4006,"4,4",5048,"4,5",7120,"5,4",2764,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h5_p1e-02_distributed_obstacles.json,distributed_obstacles,"[[1, 3], [1, 6], [3, 1], [3, 8], [6, 1], [6, 8], [8, 3], [8, 7]]",8,88,2,12,0,0.0,0.49243671502778863
ok,h5_p1e-02_central_choke,H5,4th(new_2),0.01,1,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,37162f0541135fde24e639924577cc2a512bdf0f6df9e5b9c74dec628cfe102a,8557d3f4c12c6eeb,configs/topologies/routing_capacity_h4_h7_4th/h5_central_choke.yaml,fdd55baa04cec79c07eb7f410f87a9e17e0707520084705f2a53636b4cb43e4c,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,359364,134192,35,0,3.1818181818181817,362430,362311,119,18938,17284,18938,17284,5504416,13,29744,23138,0,0.0,2.570810011616855,23,151519,107199,0.7074954296160878,7.965839350180506,26,0,28439.407742957574,3.6149314322491213,0,True,True,2.989009161479771,233996,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,21877,1240,0,16,5,0,3999,"4,4",4995,"4,5",7139,"5,4",2805,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h5_p1e-02_central_choke.json,central_choke,"[[3, 0], [3, 2], [3, 3], [3, 6], [3, 7], [3, 8], [3, 9], [9, 9]]",8,88,2,21,118,0.03256861489544516,5.683738817310924
ok,h6_p1e-05_remote_ban_control,H6,4th(new_2),1e-05,1,4f6d34061c9b4702a6a1d6a0107e7b52a7d246e50442fbf35a4d38f33f32ab76,523b0f82114685895d9f5b9afbdcab89ceb6b664e989851224ded58fcb6f3124,6aed3bb02388754d,configs/topologies/routing_capacity_h4_h7_4th/h6_remote_ban_control.yaml,c29b3117d93c58d9386bdf10dd3d8ae72d9bb864c6b4b5f5848efb87a767559b,"[[4, 4], [4, 5], [5, 4], [5, 5]]",2,568404,0,43,0,3.3076923076923075,4576315,4576285,30,1025480,966388,1025480,966388,67774223,15,39600,1130407,4,3.538548505095952e-06,2.3936429769473806,20,354817,246689,0.6952569916323063,4.852896567031666,19,0,16552.292520966465,3.5277871873875815,0,True,True,33.60962767433375,1735700,0,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,0,0,1107904,22270,4,18,211,0,305073,"4,4",297647,"4,5",304414,"5,4",118346,"5,5",artifacts/surface_code_routing_capacity_sweep_h4_h7_4th_paired/diagnostics/h6_p1e-05_remote_ban_control.json,remote_ban_control,"[[0, 0], [0, 9], [1, 0], [1, 9], [8, 0], [8, 9], [9, 0], [9, 9]]",8,88,2,12,0,0.0,0.0
